id, TFT, TEC, level, cd
0,6266.000000,9566.000000,1,inf
1,4592.898926,13949.337891,1,0.886044
2,3662.666992,14427.746094,1,0.149259
3,3276.387207,14920.287109,1,0.137487
4,3264.360596,15398.046875,1,0.076960
5,3195.808594,15530.007812,1,0.092564
6,3126.338135,16019.546875,1,0.470770
7,2307.142822,20337.292969,1,inf
8,2422.857910,20306.632812,1,0.058037
9,3604.082031,14841.450195,1,0.117222
10,2966.669922,19977.363281,1,0.413656
11,2546.682617,20152.281250,1,0.041020
12,2952.422607,20001.966797,1,0.100954
13,2586.666504,20030.851562,1,0.116444
14,3662.190918,14707.354492,1,0.053206
15,4234.702148,14224.921875,1,0.076950
16,4357.909180,14163.699219,1,0.059589
17,4133.591797,14382.228516,1,0.163325
18,2500.402832,20237.988281,1,0.045608
19,4431.159180,14117.592773,1,0.079259
20,6483.000000,9660.000000,2,inf
21,2495.253418,20322.726562,2,inf
22,6333.000000,9709.000000,2,0.765466
23,5084.782227,14083.294922,2,0.744602
24,3034.108398,20046.089844,2,0.536643
25,3246.632812,15898.965820,2,0.519159
26,4369.396484,14187.852539,2,0.195054
27,5023.752930,14147.730469,2,0.189202
28,3311.889893,15253.189453,2,0.155528
29,3806.387207,14453.837891,2,0.137376
30,3587.592285,15152.291016,2,0.127765
31,3675.837891,14864.018555,2,0.120371
