id, TFT, TEC, level, cd
0,82236.765625,138294.000000,8,0.000000
1,73936.765625,140013.359375,1,0.000000
2,77338.601562,139577.781250,6,0.000000
3,79040.328125,139469.031250,8,0.000000
4,77671.773438,139277.531250,6,0.000000
5,78269.093750,140222.390625,9,0.000000
6,77822.671875,139390.031250,7,0.000000
7,74560.671875,139209.062500,1,0.000000
8,75079.140625,141237.437500,3,0.000000
9,79222.492188,137700.656250,5,0.000000
10,75944.156250,139796.281250,5,0.000000
11,81665.468750,140109.140625,12,0.000000
12,79952.734375,139270.937500,8,0.000000
13,78264.906250,141523.968750,11,0.000000
14,78868.515625,140506.968750,10,0.000000
15,76747.578125,138478.968750,3,0.000000
16,78832.937500,138877.171875,6,0.000000
17,83146.328125,139653.250000,12,0.000000
18,78866.671875,139751.437500,8,0.000000
19,76667.398438,140708.312500,8,0.000000
20,82854.546875,138939.750000,10,0.000000
21,81935.937500,137503.000000,5,0.000000
22,80062.335938,139669.156250,10,0.000000
23,79970.890625,138542.375000,7,0.000000
24,78314.859375,140599.562500,10,0.000000
25,78907.007812,137377.468750,4,0.000000
26,74747.976562,140706.906250,2,0.000000
27,78873.921875,136423.406250,2,0.000000
28,79080.281250,138653.406250,6,0.000000
29,76325.937500,139165.937500,5,0.000000
30,78441.281250,141331.875000,11,0.000000
31,77505.718750,140051.500000,7,0.000000
32,78691.851562,138660.500000,5,0.000000
33,76508.000000,140497.796875,7,0.000000
34,78221.085938,137963.703125,3,0.000000
35,78435.898438,137844.921875,4,0.000000
36,77004.140625,141443.718750,9,0.000000
37,77014.445312,138807.781250,4,0.000000
38,83545.226562,137139.765625,4,0.000000
39,80304.273438,140050.265625,11,0.000000
40,74947.695312,139854.718750,2,0.000000
41,79206.593750,138779.531250,7,0.000000
42,79992.757812,141036.843750,11,0.000000
43,75284.234375,139856.500000,3,0.000000
44,77992.953125,136946.687500,2,0.000000
45,78064.085938,136293.000000,1,0.000000
46,80451.562500,141520.593750,13,0.000000
47,80219.187500,138875.125000,8,0.000000
48,82713.445312,139627.312500,11,0.000000
49,78975.804688,139966.031250,9,0.000000
50,75210.851562,138415.312500,2,0.000000
51,75659.000000,139151.812500,4,0.000000
52,79929.734375,139660.359375,9,0.000000
53,77539.601562,136727.781250,1,0.000000
54,79461.710938,138032.250000,6,0.000000
55,76999.882812,139152.968750,5,0.000000
56,75418.484375,138615.375000,3,0.000000
57,81428.273438,138013.656250,7,0.000000
58,79177.171875,138097.531250,5,0.000000
59,74069.796875,141310.875000,2,0.000000
60,76009.406250,139788.125000,5,0.000000
61,81944.187500,137250.140625,4,0.000000
62,77571.539062,138495.265625,4,0.000000
63,81927.843750,136958.640625,3,0.000000
64,76813.906250,141975.078125,9,0.000000
65,79237.757812,139416.781250,8,0.000000
66,76385.796875,142783.031250,7,0.000000
67,79140.406250,137237.156250,3,0.000000
68,75941.218750,140262.843750,6,0.000000
69,79846.242188,138554.968750,7,0.000000
70,75170.515625,137265.468750,1,0.000000
71,77795.617188,143424.156250,11,0.000000
72,77559.640625,138170.296875,2,0.000000
73,78367.984375,137638.156250,3,0.000000
74,77482.328125,141645.031250,10,0.000000
75,77309.046875,141286.484375,9,0.000000
76,78901.695312,138204.906250,5,0.000000
77,81153.179688,138372.218750,7,0.000000
78,72801.312500,141491.406250,1,0.000000
79,78264.125000,141439.500000,10,0.000000
80,77986.781250,140109.640625,8,0.000000
81,78368.726562,138020.281250,4,0.000000
82,82274.500000,137357.125000,5,0.000000
83,78820.187500,136138.343750,1,0.000000
84,79115.859375,141305.531250,12,0.000000
85,75763.656250,139988.968750,5,0.000000
86,73894.359375,140149.593750,1,0.000000
87,81272.703125,134844.437500,1,0.000000
88,82341.640625,138974.984375,10,0.000000
89,81089.968750,138904.125000,9,0.000000
90,76221.554688,137136.468750,1,0.000000
91,77218.398438,139829.843750,6,0.000000
92,78793.156250,139165.531250,6,0.000000
93,78956.023438,141257.843750,11,0.000000
94,80186.218750,137943.343750,6,0.000000
95,81805.468750,140697.546875,13,0.000000
96,78484.398438,137305.312500,3,0.000000
97,78134.312500,138263.062500,3,0.000000
98,78914.156250,138990.968750,7,0.000000
99,76249.265625,140179.031250,6,0.000000
