id, TFT, TEC, level, cd
0,86146.968750,132972.093750,9,0.000000
1,86259.578125,132408.109375,8,829.567383
2,84107.273438,132830.250000,6,968.728516
3,85827.648438,133015.562500,8,725.900391
4,86745.179688,132231.843750,5,797.110352
5,81510.617188,135759.031250,8,1008.577148
6,90615.812500,135850.937500,13,871.744141
7,90592.937500,132453.890625,9,993.996094
8,81770.742188,132958.812500,4,907.131836
9,78428.265625,133597.421875,3,720.406250
10,82803.578125,132512.343750,4,659.188477
11,81994.468750,133273.109375,6,862.551758
12,81086.328125,134973.687500,6,905.125000
13,84961.890625,133571.609375,9,661.962891
14,81018.062500,133091.078125,3,673.803711
15,84585.953125,134709.500000,8,787.953125
16,86821.531250,132293.984375,7,766.714844
17,83525.062500,133154.984375,6,944.962891
18,80786.593750,132414.125000,2,688.610352
19,81507.585938,132844.656250,3,773.530273
20,87106.742188,133088.125000,10,1002.063477
21,89965.890625,132696.468750,9,937.104492
22,91063.226562,133489.468750,12,934.764648
23,82600.820312,133187.140625,6,851.390625
24,87112.648438,132940.562500,9,831.008789
25,88607.921875,132260.312500,7,702.881836
26,84954.507812,135391.906250,10,802.982422
27,82065.648438,131828.109375,2,792.379883
28,78155.968750,133514.265625,2,980.881836
29,79263.960938,134740.953125,5,927.559570
30,89551.515625,133406.343750,11,695.999023
31,83597.843750,133276.843750,7,723.287109
32,80360.164062,132960.859375,2,783.830078
33,85995.914062,135268.968750,11,656.483398
34,96316.000000,130756.453125,1,1010.236328
35,80820.335938,131273.531250,1,849.705078
36,86173.406250,131907.750000,4,893.339844
37,85906.859375,131290.953125,2,955.117188
38,87149.890625,131231.515625,2,816.266602
39,83506.195312,132255.468750,4,978.288086
40,87609.281250,133498.656250,11,668.451172
41,86561.171875,133695.468750,10,769.111328
42,82888.679688,132767.265625,5,681.485352
43,85140.851562,131517.468750,2,845.580078
44,88496.921875,133802.125000,12,729.530273
45,84030.265625,131527.968750,2,912.467773
46,84872.203125,133045.796875,8,754.494141
47,85911.304688,132862.406250,8,795.893555
48,87091.328125,131534.656250,3,670.795898
49,81422.203125,135613.843750,7,717.509766
50,85816.046875,132318.265625,7,961.875977
51,85463.921875,132667.750000,7,986.833008
52,81904.835938,132626.250000,4,901.151367
53,84584.140625,131928.218750,4,870.578125
54,81483.359375,133780.140625,5,887.334961
55,78709.781250,133801.484375,4,744.912109
56,81745.109375,132481.828125,3,878.803711
57,85130.187500,132234.609375,5,948.566406
58,81792.531250,134240.875000,6,857.071289
59,84435.773438,131697.687500,3,835.476562
60,85601.703125,133164.015625,9,738.504883
61,83533.421875,132509.171875,5,776.433594
62,83050.156250,133723.734375,7,1005.272461
63,85400.523438,130811.937500,1,809.129883
64,82092.914062,133827.125000,7,827.384766
65,83315.156250,134846.437500,8,692.964844
66,77734.968750,133957.562500,2,969.530273
67,85133.578125,132437.703125,6,820.268555
68,87574.671875,132757.250000,9,924.776367
69,89296.343750,130877.367188,2,686.013672
70,81968.359375,132952.875000,5,930.521484
71,77180.515625,136593.468750,2,942.540039
72,87435.109375,131755.812500,4,761.353516
73,81499.656250,133378.828125,4,806.071289
74,75776.414062,133418.218750,1,1012.908203
75,80805.578125,133918.875000,5,1016.146484
76,88007.101562,132384.500000,8,1018.881836
77,80521.046875,133425.562500,3,1022.274414
78,82256.500000,132221.937500,3,1029.173828
79,78321.171875,134446.515625,3,1037.269531
80,79014.984375,131622.062500,1,1042.939453
81,80921.812500,132101.000000,2,1051.306641
82,85796.789062,132238.890625,6,1056.849609
83,83416.375000,130978.265625,1,1064.548828
84,79865.523438,134523.968750,5,1072.644531
85,82695.281250,135168.484375,8,1079.875000
86,85441.710938,132266.468750,6,1087.269531
87,82574.609375,131706.031250,2,1093.744141
88,85069.000000,134143.546875,10,1101.859375
89,84740.640625,135092.187500,9,1107.945312
90,87655.382812,131896.375000,5,1113.607422
91,84964.593750,132862.406250,7,1120.960938
92,79607.640625,133513.468750,2,1129.527344
93,87758.640625,133848.937500,12,1137.462891
94,83039.726562,131536.125000,2,1142.880859
95,80634.992188,133483.671875,4,1151.013672
96,83269.742188,133653.937500,7,1155.960938
97,77942.132812,133562.453125,2,1163.546875
98,81552.617188,135235.656250,7,1171.630859
99,84203.906250,132863.812500,7,1178.949219
