id, TFT, TEC, level, cd
0,60749.625000,139599.375000,437728,0.000000
1,60242.218750,136499.593750,438352,0.000000
2,61113.675781,137215.000000,4125664,-0.000000
3,60706.625000,137788.328125,4236864,0.000000
4,59970.839844,138101.656250,4318288,0.000000
5,61178.218750,141773.031250,4397392,0.000000
6,60444.632812,141546.468750,4454928,0.000000
7,61885.527344,137086.562500,4533424,0.000000
8,60874.300781,138752.468750,4609872,0.000000
9,61131.468750,137436.046875,4489248,0.000000
10,60480.242188,139125.968750,4351744,0.000000
11,60802.296875,138554.468750,3203856,0.000000
12,59432.695312,139382.937500,3293328,0.000000
13,60241.664062,138445.343750,3368288,0.000000
14,60600.796875,139578.406250,3418592,0.000000
15,59818.039062,140081.656250,3515120,0.000000
16,61642.023438,139141.062500,3565264,0.000000
17,60897.296875,140751.750000,3632480,0.000000
18,60726.371094,137731.250000,3686224,0.000000
19,60483.390625,138295.562500,3784944,0.000000
20,61722.140625,138078.218750,3855792,0.000000
21,61187.789062,137693.828125,3947008,0.000000
22,60468.546875,139393.984375,4008176,0.000000
23,61859.734375,137022.046875,4096272,0.000000
24,60007.375000,138193.968750,3381984,0.000000
25,61392.589844,137908.468750,592,0.000000
26,59601.492188,140837.093750,3336304,0.000000
27,61213.781250,137160.437500,487904,0.000000
28,60374.031250,138850.093750,575600,0.000000
29,60730.085938,139764.500000,654544,0.000000
30,59808.941406,140081.625000,723696,0.000000
31,60405.144531,138619.625000,792656,0.000000
32,60966.546875,137234.343750,871760,0.000000
33,59744.304688,139320.781250,956576,0.000000
34,62883.269531,135873.093750,975392,-0.000000
35,62285.925781,136649.593750,1095472,0.000000
36,60994.031250,138649.187500,1162064,0.000000
37,62661.308594,138787.156250,967392,-0.000000
38,61796.570312,136241.093750,1277648,0.000000
39,61709.953125,139748.843750,1357200,0.000000
40,60676.773438,140445.734375,1440928,0.000000
41,59829.679688,139440.937500,1514464,0.000000
42,60854.125000,139008.093750,1464736,-0.000000
43,62339.195312,138705.312500,1602272,-0.000000
44,61579.003906,139533.328125,1678288,-0.000000
45,61549.453125,138010.796875,1806720,0.000000
46,60457.425781,137278.390625,1888240,0.000000
47,59861.992188,138224.125000,1950432,0.000000
48,60262.089844,137470.781250,2021472,0.000000
49,60237.289062,142180.843750,2093280,0.000000
50,61037.484375,137566.437500,2163632,0.000000
51,60616.101562,136350.375000,2225056,0.000000
52,61196.492188,137934.468750,2323136,0.000000
53,60275.828125,137082.765625,2390944,0.000000
54,60410.671875,139619.312500,2453744,0.000000
55,59652.335938,138164.875000,2528448,0.000000
56,60408.546875,138095.125000,2593056,0.000000
57,61011.328125,137357.843750,2662288,0.000000
58,59861.894531,139886.609375,2746560,0.000000
59,61597.949219,138221.156250,2802112,0.000000
60,60756.648438,138284.406250,1149378598,1087.567505
61,59453.226562,137391.250000,2950192,0.000000
62,61472.593750,137190.625000,3003824,0.000000
63,61363.140625,137862.390625,0,1558.014648
64,60100.484375,137204.093750,3157744,0.000000
65,60730.726562,138848.593750,2199232,0.000000
66,60269.484375,138787.312500,1144977843,827.998352
67,59932.664062,138021.062500,655824,0.000000
68,61802.437500,137120.703125,2119984,0.000000
69,61202.320312,137955.265625,3107088,0.000000
70,61146.199219,138277.062500,2344976,0.000000
71,58265.167969,143082.015625,1311088,0.000000
72,60499.757812,137238.406250,1144487129,801.550476
73,59765.460938,138592.234375,1849840,0.000000
74,60051.109375,137427.531250,4782656,0.000000
75,59677.851562,137801.250000,4834928,0.000000
76,61295.085938,137961.406250,4886192,0.000000
77,60612.679688,137652.296875,4963120,0.000000
78,61032.578125,138355.500000,5010080,0.000000
79,59715.632812,139892.000000,5072352,0.000000
80,62084.406250,137411.500000,5142224,0.000000
81,60563.503906,137333.593750,5193824,0.000000
82,60205.691406,138177.625000,5240640,0.000000
83,61560.117188,137456.265625,5298368,0.000000
84,59339.382812,140212.328125,0,0.000000
85,59458.867188,140742.453125,5420880,0.000000
86,60971.289062,138188.031250,5482016,0.000000
87,62247.828125,138524.875000,1145019711,808.984497
88,60631.257812,140194.359375,5613024,0.000000
89,60201.289062,138748.843750,5654768,0.000000
90,60566.929688,137465.312500,5712736,0.000000
91,59888.015625,139169.375000,5802144,-0.000000
92,60874.296875,140064.453125,1144554372,778.255432
93,60777.847656,140002.140625,5900752,0.000000
94,62208.632812,137777.421875,5957504,0.000000
95,61248.296875,138614.656250,6027312,0.000000
96,60113.828125,140073.750000,6077360,0.000000
97,60600.585938,138464.468750,6128816,0.000000
98,60208.054688,138739.015625,6200880,0.000000
99,61180.375000,137372.953125,6249792,0.000000
