id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,nsga2-v3,0,5,973.799988,5,2168.325439,0.043481,0.027222,0.870826
../instances/566/2-4-20__0.txt,nsga2-nd,0,5,158.199997,5,5016.872070,0.258307,0.042966,0.854203
../instances/566/2-4-20__0.txt,nsga3-v3,0,5,971.200012,5,2838.046631,0.090978,0.033994,0.942757
../instances/566/2-4-20__0.txt,nsga3-nd,0,5,184.199997,5,5812.668945,0.320913,0.081934,0.974502
../instances/566/2-4-60__0.txt,nsga2-v3,0,5,650.799988,5,2086.607178,0.026210,0.009922,0.792048
../instances/566/2-4-60__0.txt,nsga2-nd,0,5,26.200001,5,975.705872,0.004515,0.004277,0.485327
../instances/566/2-4-60__0.txt,nsga3-v3,0,5,649.799988,5,2235.677734,0.026262,0.010216,1.030978
../instances/566/2-4-60__0.txt,nsga3-nd,0,5,23.200001,5,1324.479858,0.006403,0.005424,0.799320
../instances/566/2-4-100__0.txt,nsga2-v3,0,5,408.600006,5,9138.151367,0.023236,0.015411,0.953801
../instances/566/2-4-100__0.txt,nsga2-nd,0,5,11.000000,5,4612.476562,0.005044,0.007912,0.666652
../instances/566/2-4-100__0.txt,nsga3-v3,0,5,439.200012,5,10073.164062,0.024721,0.016423,0.972211
../instances/566/2-4-100__0.txt,nsga3-nd,0,5,11.400000,5,5107.313965,0.008495,0.009065,1.062219
../instances/566/2-8-20__0.txt,nsga2-v3,0,5,409.200012,5,2389.513672,0.181236,0.032485,0.935593
../instances/566/2-8-20__0.txt,nsga2-nd,0,5,92.199997,5,1541.057373,0.218227,0.026829,0.775319
../instances/566/2-8-20__0.txt,nsga3-v3,0,5,489.200012,5,2220.146484,0.145081,0.032583,1.032767
../instances/566/2-8-20__0.txt,nsga3-nd,0,5,122.000000,5,2422.288574,0.241753,0.039761,1.069607
../instances/566/2-8-60__0.txt,nsga2-v3,0,5,358.200012,5,9161.159180,0.030351,0.023115,1.098184
../instances/566/2-8-60__0.txt,nsga2-nd,0,5,14.600000,5,1856.359131,0.002891,0.007793,0.626365
../instances/566/2-8-60__0.txt,nsga3-v3,0,5,387.600006,5,9350.586914,0.030688,0.023418,1.133003
../instances/566/2-8-60__0.txt,nsga3-nd,0,5,21.400000,5,1800.166260,0.003072,0.006798,0.912980
../instances/566/2-8-100__0.txt,nsga2-v3,0,5,276.000000,5,14598.950195,0.036070,0.023500,1.112102
../instances/566/2-8-100__0.txt,nsga2-nd,0,5,11.800000,5,2423.441895,0.007146,0.006069,0.626798
../instances/566/2-8-100__0.txt,nsga3-v3,0,5,256.600006,5,15198.229492,0.035992,0.024276,1.228689
../instances/566/2-8-100__0.txt,nsga3-nd,0,5,11.800000,5,3931.459473,0.010259,0.008207,0.971327
../instances/566/2-16-20__0.txt,nsga2-v3,0,5,209.199997,5,4488.727539,0.033821,0.030589,1.165653
../instances/566/2-16-20__0.txt,nsga2-nd,0,5,48.400002,5,577.961731,0.003735,0.003943,0.522623
../instances/566/2-16-20__0.txt,nsga3-v3,0,5,211.000000,5,4494.728027,0.033026,0.030784,1.142695
../instances/566/2-16-20__0.txt,nsga3-nd,0,5,62.599998,5,1841.088867,0.004394,0.014584,1.004628
../instances/566/2-16-60__0.txt,nsga2-v3,0,5,162.600006,5,16666.052734,0.042619,0.026124,1.248961
../instances/566/2-16-60__0.txt,nsga2-nd,0,5,13.000000,5,1520.046753,0.003396,0.003120,0.920692
../instances/566/2-16-60__0.txt,nsga3-v3,0,5,156.800003,5,16680.703125,0.041283,0.025731,1.199880
../instances/566/2-16-60__0.txt,nsga3-nd,0,5,14.400000,4,2805.888184,0.003498,0.006488,1.084372
../instances/566/2-16-100__0.txt,nsga2-v3,0,5,124.800003,5,23603.886719,0.036724,0.023323,1.365287
../instances/566/2-16-100__0.txt,nsga2-nd,0,5,5.000000,5,4389.589844,0.003200,0.006502,1.043983
../instances/566/2-16-100__0.txt,nsga3-v3,0,5,127.800003,5,23985.503906,0.037973,0.023883,1.285158
../instances/566/2-16-100__0.txt,nsga3-nd,0,5,6.200000,5,3806.354248,0.002457,0.005774,1.061304
