id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/928/2-4-20__0.txt,op,0,10,9.800000,1,10015.974609,0.725123,0.036225,0.892718
../instances/928/2-4-20__0.txt,v3,0,10,1999.000000,9,3651.046387,0.037556,0.015045,0.809520
../instances/928/2-4-20__0.txt,nd,0,10,2660.600098,9,8216.983398,0.237990,0.024394,0.880457
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/928/2-4-20__0.txt,op,0,10,6.000000,1,2393.991943,0.205609,0.039212,0.860637
../instances/928/2-4-20__0.txt,v3,0,10,191.100006,9,1914.597290,0.061604,0.030629,0.892506
../instances/928/2-4-20__0.txt,nd,0,10,363.200012,8,404.703247,0.069964,0.009845,0.800620
../instances/928/2-8-20__5.txt,op,0,10,3.600000,1,3050.008301,0.050439,0.021642,0.885016
../instances/928/2-8-20__5.txt,v3,0,10,109.000000,7,2771.066406,0.025704,0.020794,0.943801
../instances/928/2-8-20__5.txt,nd,0,10,251.000000,8,329.089325,0.002918,0.002766,0.800188
../instances/928/2-16-20__10.txt,op,0,10,1.900000,3,3325.755859,0.070383,0.024814,0.915394
../instances/928/2-16-20__10.txt,v3,0,10,56.200001,7,2927.452148,0.048223,0.021010,0.959828
../instances/928/2-16-20__10.txt,nd,0,10,159.500000,8,412.723816,0.003385,0.004137,0.812524
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/928/2-4-20__0.txt,op,0,10,5.600000,1,2683.041260,1.353609,0.056759,0.869298
../instances/928/2-4-20__0.txt,v3,0,10,207.600006,8,2237.240723,0.429874,0.037804,0.909688
../instances/928/2-4-20__0.txt,nd,0,10,330.500000,9,970.363953,0.462600,0.028176,0.840538
../instances/928/2-8-20__5.txt,op,0,10,3.100000,2,3596.052734,0.049693,0.027815,0.871649
../instances/928/2-8-20__5.txt,v3,0,10,101.800003,7,3245.583984,0.024137,0.026807,0.963368
../instances/928/2-8-20__5.txt,nd,0,10,241.699997,7,292.403595,0.003169,0.002576,0.756280
../instances/928/2-16-20__10.txt,op,0,10,1.800000,3,3097.853027,0.069402,0.021097,0.918847
../instances/928/2-16-20__10.txt,v3,0,10,52.000000,9,2637.847168,0.046571,0.017802,0.977674
../instances/928/2-16-20__10.txt,nd,0,10,135.699997,8,316.875732,0.002818,0.003129,0.859755
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/928/2-4-20__0.txt,op,0,10,6.600000,1,2311.485840,0.207281,0.031856,0.860926
../instances/928/2-4-20__0.txt,v3,0,10,203.699997,9,1987.515259,0.057882,0.027018,0.924183
../instances/928/2-4-20__0.txt,nd,0,10,369.799988,8,600.410828,0.072632,0.012918,0.818370
../instances/928/2-8-20__5.txt,op,0,10,3.600000,1,2863.795898,0.044891,0.020466,0.868551
../instances/928/2-8-20__5.txt,v3,0,10,97.699997,9,2574.150391,0.022260,0.019500,0.951424
../instances/928/2-8-20__5.txt,nd,0,10,237.199997,7,276.157318,0.002705,0.002301,0.774014
../instances/928/2-16-20__10.txt,op,0,10,1.900000,3,2991.280762,0.065683,0.019491,0.917843
../instances/928/2-16-20__10.txt,v3,0,10,59.000000,7,2634.363037,0.045268,0.016794,0.988806
../instances/928/2-16-20__10.txt,nd,0,10,185.899994,7,363.231537,0.002760,0.003219,0.792008
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/928/2-4-20__0.txt,op,0,10,6.500000,1,2580.000244,0.272364,0.046575,0.857000
../instances/928/2-4-20__0.txt,v3,0,10,213.300003,8,1875.009033,0.060229,0.033203,0.867403
../instances/928/2-4-20__0.txt,nd,0,10,258.299988,9,929.717957,0.095500,0.022019,0.829521
../instances/928/2-8-20__5.txt,op,0,10,3.500000,2,3129.879150,0.047140,0.023393,0.872042
../instances/928/2-8-20__5.txt,v3,0,10,103.099998,7,2925.875488,0.025134,0.022654,0.963488
../instances/928/2-8-20__5.txt,nd,0,10,225.100006,8,311.771545,0.003675,0.003197,0.812409
../instances/928/2-16-20__10.txt,op,0,10,1.900000,3,3527.442871,0.067979,0.023501,0.919861
../instances/928/2-16-20__10.txt,v3,0,10,54.500000,8,2964.714111,0.047155,0.019471,0.979523
../instances/928/2-16-20__10.txt,nd,0,10,168.800003,8,383.353271,0.002687,0.003221,0.760887
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,op,0,10,1.000000,6,2187.052246,0.152634,0.020227,0.903003
../instances/566/2-4-20__0.txt,v3,0,10,201.000000,9,1932.473267,0.054694,0.018047,0.919767
../instances/566/2-4-20__0.txt,nd,0,10,188.500000,7,414.163910,0.074558,0.006937,0.833426
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/3-4-20__0.txt,op,0,10,1.100000,7,3646.429688,0.868995,0.052390,0.903204
../instances/566/3-4-20__0.txt,v3,0,10,163.899994,9,1148.273438,0.033495,0.019361,0.832508
../instances/566/3-4-20__0.txt,nd,0,10,273.799988,8,2419.588379,0.455911,0.039147,0.852388
../instances/566/2-4-20__0.txt,op,0,10,1.000000,6,2010.759766,0.131894,0.026129,0.896394
../instances/566/2-4-20__0.txt,v3,0,10,146.600006,9,1570.015137,0.056956,0.021275,0.866997
../instances/566/2-4-20__0.txt,nd,0,10,210.500000,8,281.267242,0.063188,0.006304,0.823869
../instances/566/4-4-20__0.txt,op,0,10,1.600000,7,3489.334473,0.147767,0.026059,0.938786
../instances/566/4-4-20__0.txt,v3,0,10,191.699997,9,1695.499268,0.017330,0.013029,0.809797
../instances/566/4-4-20__0.txt,nd,0,10,281.799988,8,2192.672607,0.080910,0.022010,0.855548
../instances/566/3-4-20__0.txt,op,0,10,1.100000,7,4654.211914,0.615128,0.049370,0.915845
../instances/566/3-4-20__0.txt,v3,0,10,229.399994,10,1538.663208,0.067569,0.024393,0.823551
../instances/566/3-4-20__0.txt,nd,0,10,311.399994,7,3404.181152,0.304133,0.044345,0.868444
../instances/566/4-4-20__0.txt,op,0,10,1.800000,7,3766.832520,0.134255,0.028641,0.940280
../instances/566/4-4-20__0.txt,v3,0,10,189.000000,10,1644.319580,0.016657,0.013686,0.808720
../instances/566/4-4-20__0.txt,nd,0,10,255.800003,8,2496.135010,0.077050,0.024282,0.853243
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,op,0,10,1.000000,6,2057.652832,0.227485,0.024632,0.892670
../instances/566/2-4-20__0.txt,v3,0,10,167.600006,8,1625.926514,0.073019,0.020309,0.884121
../instances/566/2-4-20__0.txt,nd,0,10,234.000000,8,341.476898,0.100355,0.007264,0.833189
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/3-4-20__0.txt,op,0,10,1.000000,6,3683.981201,0.186849,0.043433,0.881406
../instances/566/3-4-20__0.txt,v3,0,10,133.500000,9,1546.034546,0.027690,0.025704,0.842781
../instances/566/3-4-20__0.txt,nd,0,10,257.799988,9,2626.773926,0.091238,0.036701,0.855737
../instances/566/2-4-20__0.txt,op,0,10,1.600000,4,1998.893188,0.029333,0.021942,0.832726
../instances/566/2-4-20__0.txt,v3,0,10,123.400002,8,1588.827881,0.018445,0.018214,0.884170
../instances/566/2-4-20__0.txt,nd,0,10,186.399994,7,221.824753,0.005851,0.002897,0.791029
../instances/566/4-4-20__0.txt,op,0,10,1.000000,7,3125.212402,0.216274,0.029063,0.918933
../instances/566/4-4-20__0.txt,v3,0,10,142.100006,10,1545.515259,0.032223,0.014611,0.813676
../instances/566/4-4-20__0.txt,nd,0,10,218.199997,7,1892.727295,0.117249,0.022528,0.849660
../instances/566/3-4-20__0.txt,op,0,10,2.400000,4,4293.099609,0.662818,0.075698,0.888577
../instances/566/3-4-20__0.txt,v3,0,10,131.300003,9,1801.227783,0.088566,0.035889,0.854434
../instances/566/3-4-20__0.txt,nd,0,10,225.100006,8,3385.634766,0.318737,0.061503,0.854715
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/4-4-20__0.txt,op,0,10,3.100000,6,2821.619629,0.428316,0.028161,0.886515
../instances/566/4-4-20__0.txt,v3,0,10,161.800003,9,1769.027344,0.052362,0.015493,0.825030
../instances/566/4-4-20__0.txt,nd,0,10,246.399994,7,1330.318604,0.210543,0.019009,0.857757
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,op,0,10,1.400000,5,1931.134399,0.036756,0.023288,0.862676
../instances/566/2-4-20__0.txt,v3,0,10,121.300003,8,1639.930054,0.022945,0.020455,0.914850
../instances/566/2-4-20__0.txt,nd,0,10,190.800003,8,223.450226,0.009993,0.003225,0.764041
../instances/566/3-4-20__0.txt,op,0,10,2.000000,5,4029.824219,0.553265,0.044944,0.890378
../instances/566/3-4-20__0.txt,v3,0,10,133.899994,10,1660.929077,0.037301,0.019011,0.856013
../instances/566/3-4-20__0.txt,nd,0,10,221.500000,7,2855.257080,0.251001,0.036005,0.857861
../instances/566/4-4-20__0.txt,op,0,10,2.500000,7,3692.075439,0.177808,0.026320,0.908567
../instances/566/4-4-20__0.txt,v3,0,10,175.699997,10,1959.901978,0.022905,0.014553,0.835378
../instances/566/4-4-20__0.txt,nd,0,10,252.500000,9,2352.332764,0.084745,0.022006,0.857327
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,nsga3-v3,0,10,201.800003,10,2078.531738,0.075021,0.019951,0.870339
../instances/566/2-4-20__0.txt,nsga2-v3,0,10,218.100006,9,1990.725830,0.083548,0.019320,0.901074
../instances/566/2-4-20__0.txt,nsga2-nd,0,10,300.399994,8,568.018616,0.096598,0.009891,0.835386
../instances/566/3-4-20__0.txt,nsga3-v3,0,10,212.600006,9,2297.574707,0.128694,0.031758,0.858923
../instances/566/3-4-20__0.txt,nsga2-v3,0,10,248.500000,10,1291.646118,0.075743,0.019838,0.825297
../instances/566/3-4-20__0.txt,nsga2-nd,0,10,365.399994,7,4132.664062,0.411577,0.043670,0.867350
../instances/566/4-4-20__0.txt,nsga3-v3,0,10,242.699997,10,2827.518555,0.051364,0.019545,0.839357
../instances/566/4-4-20__0.txt,nsga2-v3,0,10,210.199997,9,2393.786621,0.028501,0.014901,0.811981
../instances/566/4-4-20__0.txt,nsga2-nd,0,10,335.299988,8,3799.892578,0.177255,0.026897,0.871500
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,nsga2-v3,0,10,124.199997,8,1147.098145,0.117108,0.021204,0.898991
../instances/566/2-4-20__0.txt,nsga2-nd,0,10,37.599998,9,552.816833,0.112509,0.012985,0.818109
../instances/566/2-4-20__0.txt,nsga3-v3,0,10,177.300003,8,1101.754028,0.079714,0.019220,0.915518
../instances/566/2-4-20__0.txt,nsga3-nd,0,10,39.299999,8,1578.893311,0.143512,0.028976,0.908669
../instances/566/3-4-20__0.txt,nsga2-v3,0,10,291.000000,10,994.583862,0.040341,0.017593,0.825331
../instances/566/3-4-20__0.txt,nsga2-nd,0,10,77.000000,9,4024.644531,0.251623,0.042974,0.857697
../instances/566/3-4-20__0.txt,nsga3-v3,0,10,198.699997,10,2064.606934,0.067343,0.024976,0.864906
../instances/566/3-4-20__0.txt,nsga3-nd,0,10,63.700001,8,5015.780762,0.311394,0.071627,0.922332
../instances/566/4-4-20__0.txt,nsga2-v3,0,10,285.899994,10,828.370300,0.036463,0.013517,0.804837
../instances/566/4-4-20__0.txt,nsga2-nd,0,10,95.099998,8,3980.261719,0.176049,0.037626,0.897774
../instances/566/4-4-20__0.txt,nsga3-v3,0,10,180.800003,10,1882.734131,0.037896,0.022277,0.865822
../instances/566/4-4-20__0.txt,nsga3-nd,0,10,110.500000,9,4882.569336,0.176808,0.057837,0.950031
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,nsga2-v3,0,10,217.600006,9,854.246765,0.050927,0.013936,0.869661
../instances/566/2-4-20__0.txt,nsga2-nd,0,10,38.400002,9,449.041656,0.063192,0.008370,0.811602
../instances/566/2-4-20__0.txt,nsga3-v3,0,10,193.800003,8,1029.326294,0.051286,0.015038,0.879004
../instances/566/2-4-20__0.txt,nsga3-nd,0,10,35.599998,9,1320.837158,0.080053,0.018782,0.906610
../instances/566/3-4-20__0.txt,nsga2-v3,0,10,218.199997,10,1328.679443,0.082435,0.023005,0.814553
../instances/566/3-4-20__0.txt,nsga2-nd,0,10,36.200001,8,3150.357910,0.390751,0.045282,0.869642
../instances/566/3-4-20__0.txt,nsga3-v3,0,10,112.400002,10,2423.225098,0.181332,0.039723,0.880325
../instances/566/3-4-20__0.txt,nsga3-nd,0,10,67.000000,9,4300.804688,0.479319,0.114972,0.926409
../instances/566/4-4-20__0.txt,nsga2-v3,0,10,323.200012,10,772.608521,0.028184,0.011975,0.801844
../instances/566/4-4-20__0.txt,nsga2-nd,0,10,85.300003,8,4267.114258,0.148036,0.038420,0.900696
../instances/566/4-4-20__0.txt,nsga3-v3,0,10,256.100006,10,1877.492554,0.041421,0.020173,0.847676
../instances/566/4-4-20__0.txt,nsga3-nd,0,10,99.199997,9,5101.729004,0.175950,0.050562,0.947789
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
id, alg, baseSeed,iterations,nsgaIterations,N,D(antiga),GD,IGD,S
../instances/566/2-4-20__0.txt,nsga2-v3,0,10,211.300003,8,1772.729492,0.106701,0.071358,0.886944
../instances/566/2-4-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-4-20__0.txt,nsga3-v3,0,10,188.100006,9,2027.675171,0.114275,0.078507,0.908471
../instances/566/2-4-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-4-20__0.txt,nsga2-v3,0,10,280.799988,9,1111.417236,0.029427,0.024258,0.816017
../instances/566/3-4-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-4-20__0.txt,nsga3-v3,0,10,235.399994,10,2578.684082,0.060884,0.037395,0.878547
../instances/566/3-4-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-4-20__0.txt,nsga2-v3,0,10,308.899994,9,1738.014404,0.021888,0.024567,0.811821
../instances/566/4-4-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-4-20__0.txt,nsga3-v3,0,10,293.000000,10,2067.989258,0.029084,0.027488,0.863920
../instances/566/4-4-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-4-20__0.txt,nsga2-v3,0,10,331.500000,9,1203.736694,0.025427,0.026159,0.790178
../instances/566/5-4-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-4-20__0.txt,nsga3-v3,0,10,307.799988,10,1557.058960,0.027946,0.030668,0.840685
../instances/566/5-4-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-8-20__0.txt,nsga2-v3,0,10,116.800003,8,278.857605,0.011584,0.006364,0.976796
../instances/566/2-8-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-8-20__0.txt,nsga3-v3,0,10,108.400002,8,306.768372,0.010901,0.007567,0.957198
../instances/566/2-8-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-8-20__0.txt,nsga2-v3,0,10,113.900002,10,1239.771729,0.249590,0.049267,0.923635
../instances/566/3-8-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-8-20__0.txt,nsga3-v3,0,10,144.399994,9,1136.443481,0.254306,0.045600,0.907776
../instances/566/3-8-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-8-20__0.txt,nsga2-v3,0,10,189.600006,10,1317.549561,0.126588,0.036030,0.877815
../instances/566/4-8-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-8-20__0.txt,nsga3-v3,0,10,189.000000,10,1815.130493,0.172614,0.048100,0.904047
../instances/566/4-8-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-8-20__0.txt,nsga2-v3,0,10,209.600006,10,1531.672729,0.069753,0.039004,0.887439
../instances/566/5-8-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-8-20__0.txt,nsga3-v3,0,10,205.500000,10,1283.818848,0.043496,0.033000,0.832149
../instances/566/5-8-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-16-20__0.txt,nsga2-v3,0,10,57.799999,8,471.910095,0.010126,0.004832,0.948372
../instances/566/2-16-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-16-20__0.txt,nsga3-v3,0,10,58.000000,8,471.727783,0.010659,0.005380,0.963711
../instances/566/2-16-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-16-20__0.txt,nsga2-v3,0,10,84.300003,7,555.222534,0.035362,0.008319,0.913758
../instances/566/3-16-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-16-20__0.txt,nsga3-v3,0,10,82.500000,8,626.283325,0.034326,0.009533,0.946608
../instances/566/3-16-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-16-20__0.txt,nsga2-v3,0,10,104.599998,8,579.904785,0.010178,0.006327,0.936767
../instances/566/4-16-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-16-20__0.txt,nsga3-v3,0,10,103.199997,8,607.578003,0.010534,0.006617,0.920273
../instances/566/4-16-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-16-20__0.txt,nsga2-v3,0,10,116.300003,8,390.462158,0.010951,0.005024,0.936403
../instances/566/5-16-20__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-16-20__0.txt,nsga3-v3,0,10,108.199997,8,464.791901,0.011158,0.005234,0.927961
../instances/566/5-16-20__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-4-40__0.txt,nsga2-v3,0,10,179.000000,8,137.628784,0.004671,0.002352,0.894296
../instances/566/2-4-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-4-40__0.txt,nsga3-v3,0,10,170.500000,8,153.628510,0.004950,0.002476,0.905814
../instances/566/2-4-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-4-40__0.txt,nsga2-v3,0,10,246.699997,8,394.696960,0.011579,0.005967,0.814145
../instances/566/3-4-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-4-40__0.txt,nsga3-v3,0,10,220.800003,8,457.435699,0.011305,0.006757,0.884232
../instances/566/3-4-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-4-40__0.txt,nsga2-v3,0,10,299.899994,9,4189.123535,0.100435,0.071656,0.916466
../instances/566/4-4-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-4-40__0.txt,nsga3-v3,0,10,276.600006,8,4674.299316,0.100166,0.079251,0.914816
../instances/566/4-4-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-4-40__0.txt,nsga2-v3,0,10,330.500000,10,5138.126953,0.375041,0.059190,0.875179
../instances/566/5-4-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-4-40__0.txt,nsga3-v3,0,10,351.899994,10,2841.312500,0.121292,0.049958,0.849052
../instances/566/5-4-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-8-40__0.txt,nsga2-v3,0,10,96.300003,8,411.366364,0.004698,0.003712,0.980135
../instances/566/2-8-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/2-8-40__0.txt,nsga3-v3,0,10,99.000000,7,479.574707,0.005648,0.004539,0.982626
../instances/566/2-8-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-8-40__0.txt,nsga2-v3,0,10,137.399994,8,732.781006,0.004747,0.005366,0.962631
../instances/566/3-8-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/3-8-40__0.txt,nsga3-v3,0,10,140.000000,8,657.642944,0.004860,0.004712,0.968895
../instances/566/3-8-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-8-40__0.txt,nsga2-v3,0,10,171.899994,8,426.767334,0.007659,0.004462,0.933347
../instances/566/4-8-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/4-8-40__0.txt,nsga3-v3,0,10,167.800003,8,582.489075,0.007921,0.004706,0.947542
../instances/566/4-8-40__0.txt,nsga3-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-8-40__0.txt,nsga2-v3,0,10,197.600006,7,564.221497,0.008836,0.006432,0.905600
../instances/566/5-8-40__0.txt,nsga2-nd,0,10,0.000000,0,-nan,-nan,-nan,-nan
../instances/566/5-8-40__0.txt,nsga3-v3,0,10,201.300003,8,646.198303,0.008046,0.006637,0.942567
